elapsed_sec,detected_targets,verified_targets,total_deposits,total_skipped,overall_saving_pct,active_cells,mean_active_staleness_sec,max_active_staleness_sec,max_pheromone
2.0,1,0,0,0,0.0,297,1.076,1.129,45.36
4.0,1,0,0,0,0.0,292,3.075,3.129,31.99
6.0,1,0,0,0,0.0,285,3.918,5.129,56.79
8.0,1,0,0,0,0.0,318,1.124,7.012,61.36
10.0,1,0,0,0,0.0,307,2.712,4.019,43.33
12.0,1,0,37,1412,97.45,299,3.373,6.019,51.1
14.0,1,0,37,1412,97.45,323,1.65,8.019,67.09
16.0,1,0,37,1412,97.45,316,2.767,10.019,54.7
18.0,3,0,37,1412,97.45,556,1.44,5.107,50.0
20.0,3,0,37,1412,97.45,789,1.2,4.006,77.5
22.0,3,0,131,2818,95.56,967,2.261,6.006,54.91
24.0,3,0,131,2818,95.56,1102,2.168,8.006,65.27
26.0,3,0,131,2818,95.56,1127,2.279,10.006,85.97
28.0,3,0,131,2818,95.56,1120,3.08,12.006,60.98
30.0,3,0,131,2818,95.56,1119,2.647,14.006,63.63
32.0,3,0,290,4158,93.48,1118,2.468,16.006,62.67
34.0,3,1,290,4158,93.48,1074,3.141,18.006,57.11
36.0,3,1,290,4158,93.48,1084,2.976,19.006,71.09
38.0,3,1,290,4158,93.48,1084,2.441,20.737,66.71
40.0,3,1,290,4158,93.48,1063,2.662,22.736,61.71
42.0,3,1,414,5534,93.04,1052,2.185,24.416,70.72
44.0,3,1,414,5534,93.04,1055,1.982,13.082,68.56
46.0,3,1,414,5534,93.04,1031,2.549,59.003,61.16
48.0,3,1,414,5534,93.04,1033,2.11,61.003,69.31
50.0,3,1,414,5534,93.04,1034,2.018,19.082,67.08
52.0,3,2,547,6901,92.66,1013,2.388,21.082,59.71
54.0,3,2,547,6901,92.66,967,2.039,23.082,67.17
56.0,3,2,547,6901,92.66,1013,2.206,25.082,57.58
58.0,3,2,547,6901,92.66,994,2.38,27.082,48.77
60.0,3,2,547,6901,92.66,982,2.7,29.082,51.73
62.0,3,2,695,8253,92.23,987,2.083,31.082,59.1
64.0,3,2,695,8253,92.23,973,2.017,33.082,48.5
66.0,3,2,695,8253,92.23,967,2.496,35.082,44.1
68.0,3,2,695,8253,92.23,978,2.214,37.082,65.64
70.0,3,2,695,8253,92.23,969,2.237,39.082,47.09
72.0,3,2,824,9624,92.11,962,2.34,41.082,44.24
74.0,3,2,824,9624,92.11,968,2.482,43.082,63.11
76.0,3,2,824,9624,92.11,966,2.232,45.082,44.75
78.0,3,2,824,9624,92.11,955,2.329,47.082,44.68
80.0,3,2,824,9624,92.11,972,2.505,49.082,61.02
82.0,3,2,947,10998,92.07,963,2.322,51.082,43.41
84.0,3,2,947,10998,92.07,956,2.624,53.082,58.47
86.0,3,2,947,10998,92.07,981,2.419,55.082,58.47
88.0,3,2,947,10998,92.07,971,2.553,57.082,51.98
90.0,3,2,947,10998,92.07,966,2.749,59.082,46.78
92.0,3,2,1086,12359,91.92,976,3.083,61.082,57.44
94.0,3,2,1086,12359,91.92,960,4.06,63.082,52.98
96.0,3,2,1086,12359,91.92,943,4.867,65.082,42.41
98.0,3,2,1086,12359,91.92,942,4.939,67.082,55.73
100.0,3,2,1086,12359,91.92,900,5.673,51.419,55.09
102.0,3,2,1151,13794,92.3,872,6.352,53.419,39.53
104.0,3,2,1151,13794,92.3,847,5.979,55.419,63.75
106.0,3,2,1151,13794,92.3,768,6.08,57.419,54.37
108.0,3,2,1151,13794,92.3,682,5.052,59.419,38.6
110.0,3,2,1151,13794,92.3,615,3.008,61.419,64.3
112.0,3,2,1222,15223,92.57,576,2.981,63.419,52.12
114.0,3,2,1222,15223,92.57,555,2.497,65.419,37.02
116.0,3,2,1222,15223,92.57,562,1.632,67.419,68.83
118.0,3,2,1222,15223,92.57,554,2.048,69.419,49.88
120.0,3,2,1222,15223,92.57,547,1.859,71.419,45.6
122.0,3,2,1293,16652,92.79,559,1.458,73.419,66.38
124.0,3,2,1293,16652,92.79,548,2.133,75.419,47.21
126.0,3,2,1293,16652,92.79,544,2.191,77.419,44.0
128.0,3,2,1293,16652,92.79,561,1.506,79.419,65.34
130.0,3,2,1293,16652,92.79,559,1.675,81.419,47.38
132.0,3,2,1360,18084,93.01,547,2.213,83.419,49.58
134.0,3,2,1360,18084,93.01,565,1.441,85.419,63.75
136.0,3,2,1360,18084,93.01,554,1.854,87.419,55.08
138.0,3,2,1360,18084,93.01,544,2.186,89.419,47.04
140.0,3,2,1360,18084,93.01,567,0.989,91.419,67.31
142.0,3,2,1432,19511,93.16,556,1.872,93.419,56.4
144.0,3,2,1432,19511,93.16,545,2.103,95.419,49.85
146.0,3,2,1432,19511,93.16,563,1.181,97.419,67.61
148.0,3,2,1432,19511,93.16,550,1.864,99.419,63.41
150.0,3,2,1432,19511,93.16,546,2.117,101.419,45.1
152.0,3,2,1497,20945,93.33,568,1.224,103.419,75.73
154.0,3,2,1497,20945,93.33,555,1.918,105.419,61.04
156.0,3,2,1497,20945,93.33,567,1.985,107.419,43.33
158.0,3,2,1497,20945,93.33,575,1.473,109.419,78.36
160.0,3,2,1497,20945,93.33,560,1.815,111.419,58.92
162.0,3,2,1565,22377,93.46,558,1.681,113.419,48.33
164.0,3,2,1565,22377,93.46,574,1.546,115.419,79.85
166.0,3,2,1565,22377,93.46,570,1.712,117.419,56.7
168.0,3,2,1565,22377,93.46,553,1.755,119.419,50.46
170.0,3,2,1565,22377,93.46,564,1.444,121.419,76.09
172.0,3,2,1639,23801,93.56,561,1.673,123.419,53.94
174.0,3,2,1639,23801,93.56,549,1.887,125.419,47.47
176.0,3,2,1639,23801,93.56,567,1.373,127.419,73.78
